TOP MARKET CAP COMPANIES
Processed 486 entries
-----------------------------------------------------------------------

Symbol   Market Cap           Name                                     Sector
NVDA     5562502742016        Nvidia                                   Semiconductors
AAPL     4669700046848        Apple Inc.                               Technology Hardware Storage & Peripherals
GOOGL    4139343675392        Alphabet Inc. (Class A)                  Interactive Media & Services
GOOG     4100819517440        Alphabet Inc. (Class C)                  Interactive Media & Services
MSFT     3710545297408        Microsoft                                Systems Software
AMZN     2788369891328        Amazon                                   Broadline Retail
AVGO     1702714146816        Broadcom                                 Semiconductors
META     1571225468928        Meta Platforms                           Interactive Media & Services
TSLA     1398455795712        Tesla Inc.                               Automobile Manufacturers
MU       1148129771520        Micron Technology                        Semiconductors
LLY      1024490143744        Lilly (Eli)                              Pharmaceuticals
JPM      953331941376         JPMorgan Chase                           Diversified Banks
WMT      850021580800         Walmart                                  Consumer Staples Merchandise Retail
AMD      779621105664         Advanced Micro Devices                   Semiconductors
V        700273459200         Visa Inc.                                Transaction & Payment Processing Services
JNJ      663276421120         Johnson & Johnson                        Pharmaceuticals
XOM      655726608384         ExxonMobil                               Integrated Oil & Gas
MA       507393736704         Mastercard                               Transaction & Payment Processing Services
INTC     506408894464         Intel                                    Semiconductors
ORCL     457361195008         Oracle Corporation                       Application Software
ABBV     453194874880         AbbVie                                   Biotechnology
BAC      438305488896         Bank of America                          Diversified Banks
CSCO     430530461696         Cisco                                    Communications Equipment
PLTR     418925182976         Palantir Technologies                    Internet Services & Infrastructure
CVX      409190465536         Chevron Corporation                      Integrated Oil & Gas
COST     406111289344         Costco                                   Consumer Staples Merchandise Retail
LRCX     384968884224         Lam Research                             Semiconductor Materials & Equipment
KO       378925481984         Coca-Cola Company (The)                  Soft Drinks & Non-alcoholic Beverages
CAT      374147776512         Caterpillar Inc.                         Construction Machinery & Heavy Transportation Equipment
MRK      370889916416         Merck & Co.                              Pharmaceuticals
AMAT     360856682496         Applied Materials                        Semiconductor Materials & Equipment
UNH      356470816768         UnitedHealth Group                       Managed Health Care
GE       349783064576         GE Aerospace                             Aerospace & Defense
MS       341943681024         Morgan Stanley                           Investment Banking & Brokerage
PG       340389986304         Procter & Gamble                         Personal Care Products
DELL     338669076480         Dell Technologies                        Technology Hardware Storage & Peripherals
NFLX     325828280320         Netflix                                  Movies & Entertainment
HD       320308248576         Home Depot (The)                         Home Improvement Retail
GS       302413512704         Goldman Sachs                            Investment Banking & Brokerage
PM       284493709312         Philip Morris International              Tobacco
WFC      272069214208         Wells Fargo                              Diversified Banks
PANW     271606906880         Palo Alto Networks                       Systems Software
RTX      270616330240         RTX Corporation                          Aerospace & Defense
GEV      250872922112         GE Vernova                               Heavy Electrical Equipment
ANET     244400128000         Arista Networks                          Communications Equipment
KLAC     242495094784         KLA Corporation                          Semiconductor Materials & Equipment
AMGN     236380536832         Amgen                                    Biotechnology
TXN      236019728384         Texas Instruments                        Semiconductors
C        231016595456         Citigroup                                Diversified Banks
TMO      226943500288         Thermo Fisher Scientific                 Life Sciences Tools & Services
IBM      221297950720         IBM                                      IT Consulting & Other Services
AXP      220259057664         American Express                         Consumer Finance
LIN      220150300672         Linde plc                                Industrial Gases
CRWD     218200522752         CrowdStrike                              Systems Software
CRM      213346304000         Salesforce                               Application Software
VZ       208320430080         Verizon                                  Integrated Telecommunication Services
APH      204132728832         Amphenol                                 Electronic Components
TMUS     194711355392         T-Mobile US                              Wireless Telecommunication Services
STX      192786563072         Seagate Technology                       Technology Hardware Storage & Peripherals
SCHW     188999090176         Charles Schwab Corporation               Investment Banking & Brokerage
ABT      188690612224         Abbott Laboratories                      Health Care Equipment
PEP      188002582528         PepsiCo                                  Soft Drinks & Non-alcoholic Beverages
GILD     187227029504         Gilead Sciences                          Biotechnology
DE       186993311744         Deere & Company                          Agricultural & Farm Machinery
BLK      182345416704         BlackRock                                Asset Management & Custody Banks
DIS      181837381632         Walt Disney Company (The)                Movies & Entertainment
MCD      180936867840         McDonald's                               Restaurants
QCOM     180224524288         Qualcomm                                 Semiconductors
T        175969271808         AT&T                                     Integrated Telecommunication Services
ADI      175533834240         Analog Devices                           Semiconductors
NEE      174002061312         NextEra Energy                           Multi-Utilities
UNP      172056150016         Union Pacific Corporation                Rail Transportation
WELL     170177495040         Welltower                                Health Care REITs
WDC      168538456064         Western Digital                          Technology Hardware Storage & Peripherals
BA       167633453056         Boeing                                   Aerospace & Defense
BX       162739781632         Blackstone Inc.                          Asset Management & Custody Banks
PFE      162155724800         Pfizer                                   Pharmaceuticals
COP      161291567104         ConocoPhillips                           Oil & Gas Exploration & Production
ETN      159533056000         Eaton Corporation                        Electrical Components & Equipment
UBER     154744356864         Uber                                     Passenger Ground Transportation
BKNG     149776252928         Booking Holdings                         Hotels Resorts & Cruise Lines
NOW      146043338752         ServiceNow                               Systems Software
DHR      145982078976         Danaher Corporation                      Life Sciences Tools & Services
TJX      145909350400         TJX Companies                            Apparel Retail
VRTX     138332192768         Vertex Pharmaceuticals                   Biotechnology
BMY      136494186496         Bristol Myers Squibb                     Pharmaceuticals
NEM      134967443456         Newmont                                  Gold
COF      134724608000         Capital One                              Consumer Finance
PLD      133507031040         Prologis                                 Industrial REITs
GLW      132642119680         Corning Inc.                             Electronic Components
CB       131785375744         Chubb Limited                            Property & Casualty Insurance
ISRG     131380568064         Intuitive Surgical                       Health Care Equipment
SPGI     130746753024         S&P Global                               Financial Exchanges & Data
PGR      127231852544         Progressive Corporation                  Property & Casualty Insurance
CVS      123727593472         CVS Health                               Health Care Services
PH       121332039680         Parker Hannifin                          Industrial Machinery & Supplies & Components
LMT      121229770752         Lockheed Martin                          Aerospace & Defense
MDT      120456413184         Medtronic                                Health Care Equipment
SBUX     119095803904         Starbucks                                Restaurants
SYK      116272504832         Stryker Corporation                      Health Care Equipment
MO       115011952640         Altria                                   Tobacco
LOW      114707488768         Lowe's                                   Home Improvement Retail
FTNT     114672107520         Fortinet                                 Systems Software
ACN      114261827584         Accenture                                IT Consulting & Other Services
MPC      113534156800         Marathon Petroleum                       Oil & Gas Refining & Marketing
ADP      110288084992         Automatic Data Processing                Human Resource & Employment Services
ABNB     108943065088         Airbnb                                   Hotels Resorts & Cruise Lines
VLO      106740465664         Valero Energy                            Oil & Gas Refining & Marketing
ADBE     105937731584         Adobe Inc.                               Application Software
CEG      105923731456         Constellation Energy                     Electric Utilities
MCK      105862881280         McKesson Corporation                     Health Care Distributors
FCX      104441561088         Freeport-McMoRan                         Copper
HWM      103397236736         Howmet Aerospace                         Aerospace & Defense
EQIX     102221889536         Equinix                                  Data Center REITs
PSX      101786247168         Phillips 66                              Oil & Gas Refining & Marketing
SO       101358485504         Southern Company                         Electric Utilities
CME      101146050560         CME Group                                Financial Exchanges & Data
KKR      99498409984          KKR                                      Asset Management & Custody Banks
USB      98733719552          U.S. Bancorp                             Diversified Banks
TT       98548383744          Trane Technologies                       Building Products
PNC      97980571648          PNC Financial Services                   Diversified Banks
GD       97235550208          General Dynamics                         Aerospace & Defense
CMCSA    94003388416          Comcast                                  Cable & Satellite
PWR      93875912704          Quanta Services                          Construction & Engineering
DUK      93735796736          Duke Energy                              Electric Utilities
CSX      91530780672          CSX Corporation                          Rail Transportation
INTU     91005763584          Intuit                                   Application Software
WMB      90697867264          Williams Companies                       Oil & Gas Storage & Transportation
ICE      90530471936          Intercontinental Exchange                Financial Exchanges & Data
HCA      89845121024          HCA Healthcare                           Health Care Facilities
ELV      88374239232          Elevance Health                          Managed Health Care
JCI      87796162560          Johnson Controls                         Building Products
MAR      87750467584          Marriott International                   Hotels Resorts & Cruise Lines
WM       87533633536          Waste Management                         Environmental & Facilities Services
UPS      87026450432          United Parcel Service                    Air Freight & Logistics
MMM      86930169856          3M                                       Industrial Conglomerates
MNST     85845647360          Monster Beverage                         Soft Drinks & Non-alcoholic Beverages
EMR      85594480640          Emerson Electric                         Electrical Components & Equipment
MCO      85473476608          Moody's Corporation                      Financial Exchanges & Data
SLB      85353078784          Schlumberger                             Oil & Gas Equipment & Services
REGN     85217902592          Regeneron Pharmaceuticals                Biotechnology
AMT      81939079168          American Tower                           Telecom Tower REITs
SHW      81010819072          Sherwin-Williams                         Specialty Chemicals
CDNS     80731348992          Cadence Design Systems                   Application Software
CTAS     80221995008          Cintas                                   Diversified Support Services
SPG      79508340736          Simon Property Group                     Retail REITs
GM       79374663680          General Motors                           Automobile Manufacturers
MDLZ     78662057984          Mondelez International                   Packaged Foods & Meats
ECL      78290173952          Ecolab                                   Specialty Chemicals
MSI      77459365888          Motorola Solutions                       Communications Equipment
CMI      77377372160          Cummins                                  Construction Machinery & Heavy Transportation Equipment
EOG      77332340736          EOG Resources                            Oil & Gas Exploration & Production
TRV      77037182976          Travelers Companies (The)                Property & Casualty Insurance
ITW      76930170880          Illinois Tool Works                      Industrial Machinery & Supplies & Components
FDX      76330942464          FedEx                                    Air Freight & Logistics
SNPS     75474173952          Synopsys                                 Application Software
TGT      74703691776          Target Corporation                       Consumer Staples Merchandise Retail
CI       74653220864          Cigna                                    Health Care Services
NSC      73999474688          Norfolk Southern Railway                 Rail Transportation
ROST     73694642176          Ross Stores                              Apparel Retail
NOC      73159614464          Northrop Grumman                         Aerospace & Defense
DLR      71148068864          Digital Realty                           Data Center REITs
ORLY     71099564032          O'Reilly Auto Parts                      Automotive Retail
RCL      70925615104          Royal Caribbean Group                    Hotels Resorts & Cruise Lines
WBD      70826614784          Warner Bros. Discovery                   Broadcasting
CL       70765027328          Colgate-Palmolive                        Household Products
HLT      70035701760          Hilton Worldwide                         Hotels Resorts & Cruise Lines
KMI      69859532800          Kinder Morgan                            Oil & Gas Storage & Transportation
BSX      69273174016          Boston Scientific                        Health Care Equipment
HPE      69028167680          Hewlett Packard Enterprise               Technology Hardware Storage & Peripherals
AON      68535607296          Aon                                      Insurance Brokers
RSG      68196696064          Republic Services                        Environmental & Facilities Services
AEP      67777474560          American Electric Power                  Electric Utilities
AJG      67338215424          Arthur J. Gallagher & Co.                Insurance Brokers
APD      67088470016          Air Products                             Industrial Gases
HON      66433794048          Honeywell                                Industrial Conglomerates
PCAR     65637707776          Paccar                                   Construction Machinery & Heavy Transportation Equipment
ALL      65634340864          Allstate                                 Property & Casualty Insurance
TDG      64997625856          TransDigm Group                          Aerospace & Defense
COR      63154253824          Cencora                                  Health Care Distributors
TFC      63096995840          Truist Financial                         Diversified Banks
BKR      63034802176          Baker Hughes                             Oil & Gas Equipment & Services
URI      62856196096          United Rentals                           Trading Companies & Distributors
GWW      62533304320          W. W. Grainger                           Industrial Machinery & Supplies & Components
TRGP     62195716096          Targa Resources                          Oil & Gas Storage & Transportation
MET      62035259392          MetLife                                  Life & Health Insurance
TEL      60496117760          TE Connectivity                          Electronic Manufacturing Services
MPWR     60144152576          Monolithic Power Systems                 Semiconductors
OKE      60124033024          ONEOK                                    Oil & Gas Storage & Transportation
OXY      60018229248          Occidental Petroleum                     Oil & Gas Exploration & Production
NUE      59230437376          Nucor                                    Steel
AFL      58762448896          Aflac                                    Life & Health Insurance
CTVA     58619842560          Corteva                                  Fertilizers & Agricultural Chemicals
F        58298650624          Ford Motor Company                       Automobile Manufacturers
MRNA     58108788736          Moderna                                  Biotechnology
O        57955856384          Realty Income                            Retail REITs
D        57907986432          Dominion Energy                          Multi-Utilities
CAH      57488068608          Cardinal Health                          Health Care Distributors
NXPI     57451827200          NXP Semiconductors                       Semiconductors
NKE      56966352896          Nike Inc.                                Apparel Accessories & Luxury Goods
FAST     56915877888          Fastenal                                 Trading Companies & Distributors
PSA      56399085568          Public Storage                           Self-Storage REITs
FANG     56043237376          Diamondback Energy                       Oil & Gas Exploration & Production
TER      55818338304          Teradyne                                 Semiconductor Materials & Equipment
KEYS     55705784320          Keysight Technologies                    Electronic Equipment & Instruments
SRE      54953787392          Sempra                                   Multi-Utilities
AME      54486138880          Ametek                                   Electrical Components & Equipment
NDAQ     54153723904          Nasdaq Inc.                              Financial Exchanges & Data
GRMN     53426954240          Garmin                                   Consumer Electronics
STT      53363560448          State Street Corporation                 Asset Management & Custody Banks
EA       52925640704          Electronic Arts                          Interactive Home Entertainment
DVN      52866002944          Devon Energy                             Oil & Gas Exploration & Production
DAL      52721639424          Delta Air Lines                          Passenger Airlines
EW       51764420608          Edwards Lifesciences                     Health Care Equipment
ETR      51251187712          Entergy                                  Electric Utilities
BDX      50320740352          Becton Dickinson                         Health Care Equipment
VST      50110337024          Vistra Corp.                             Electric Utilities
FITB     49743659008          Fifth Third Bancorp                      Regional Banks
CARR     49593954304          Carrier Global                           Building Products
AMP      49553502208          Ameriprise Financial                     Asset Management & Custody Banks
AZO      48703270912          AutoZone                                 Automotive Retail
HUM      48217047040          Humana                                   Managed Health Care
ROK      48174022656          Rockwell Automation                      Electrical Components & Equipment
WAB      47778119680          Wabtec                                   Construction Machinery & Heavy Transportation Equipment
LHX      47754743808          L3Harris                                 Aerospace & Defense
PYPL     47375519744          PayPal                                   Transaction & Payment Processing Services
XEL      47297310720          Xcel Energy                              Multi-Utilities
CMG      46769848320          Chipotle Mexican Grill                   Restaurants
VTR      46303666176          Ventas                                   Health Care REITs
EBAY     46017449984          eBay                                     Broadline Retail
ADSK     45541097472          Autodesk                                 Application Software
EXC      44960280576          Exelon                                   Electric Utilities
KDP      44349317120          Keurig Dr Pepper                         Soft Drinks & Non-alcoholic Beverages
IQV      44074938368          IQVIA                                    Life Sciences Tools & Services
PAYX     43326382080          Paychex                                  Human Resource & Employment Services
CBRE     42813710336          CBRE Group                               Real Estate Services
A        42531786752          Agilent Technologies                     Life Sciences Tools & Services
IDXX     42232381440          Idexx Laboratories                       Health Care Equipment
PRU      42096898048          Prudential Financial                     Life & Health Insurance
